con,ctyName,cty,direction,eds,eds_dicts,eds_parts,ex_cons,polylines,s
Dublin North-West,Fingal,county,south,[],{'': []},"['Airport', 'Blanchardstown-Abbotstown', 'Dubber', 'The Ward', 'Turnapin']",,"the Northern Cross Route (M50), passing in a clockwise direction around and including roundabout No. 3 at the junction of the Northern Cross Route (M50) with the M1 Motorway","those parts of the electoral divisions of Airport, Blanchardstown-Abbotstown, Dubber, The Ward and Turnapin situated south of a line drawn along the Northern Cross Route (M50), passing in a clockwise direction around and including roundabout No. 3 at the junction of the Northern Cross Route (M50) with the M1 Motorway"
DublinRathdown,Dún Laoghaire-Rathdown,county,,"['Ballinteer-Broadford', 'Ballinteer-Ludford', 'Ballinteer-Marley', 'Ballinteer-Meadowbroads', 'Ballinteer-Meadowmount', 'Ballinteer-Woodpark', 'Churchtown-Castle', 'Churchtown-Landscape', 'Churchtown-Nutgrove', 'Churchtown-Orwell', 'Churchtown-Woodlawn', 'Clonskeagh-Belfield', 'Clonskeagh-Farranboley', 'Clonskeagh-Milltown', 'Clonskeagh-Roebuck', 'Clonskeagh-Windy Arbour', 'Dundrum-Balally', 'Dundrum-Kilmacud', 'Dundrum-Sandyford', 'Dundrum-Sweetmount', 'Dundrum-Taney', 'Stillorgan-Deerpark', 'Stillorgan-Kilmacud', 'Stillorgan-Merville', 'Stillorgan-Mount Merrion', 'Tibradden', 'the electoral division of Glencullen except for that part that is in the constituency of Dún Laoghaire']","{'': ['Ballinteer-Broadford', 'Ballinteer-Ludford', 'Ballinteer-Marley', 'Ballinteer-Meadowbroads', 'Ballinteer-Meadowmount', 'Ballinteer-Woodpark', 'Churchtown-Castle', 'Churchtown-Landscape', 'Churchtown-Nutgrove', 'Churchtown-Orwell', 'Churchtown-Woodlawn', 'Clonskeagh-Belfield', 'Clonskeagh-Farranboley', 'Clonskeagh-Milltown', 'Clonskeagh-Roebuck', 'Clonskeagh-Windy Arbour', 'Dundrum-Balally', 'Dundrum-Kilmacud', 'Dundrum-Sandyford', 'Dundrum-Sweetmount', 'Dundrum-Taney', 'Stillorgan-Deerpark', 'Stillorgan-Kilmacud', 'Stillorgan-Merville', 'Stillorgan-Mount Merrion', 'Tibradden', 'the electoral division of Glencullen except for that part that is in the constituency of Dún Laoghaire']}",,,,"the electoral divisions of:
Ballinteer-Broadford, Ballinteer-Ludford, Ballinteer-Marley, Ballinteer-Meadowbroads, Ballinteer-Meadowmount, Ballinteer-Woodpark, Churchtown-Castle, Churchtown- Landscape, Churchtown-Nutgrove, Churchtown-Orwell, Churchtown-Woodlawn, Clonskeagh-Belfield, Clonskeagh- Farranboley, Clonskeagh-Milltown, Clonskeagh-Roebuck, Clonskeagh-Windy Arbour, Dundrum-Balally, Dundrum- Kilmacud, Dundrum-Sandyford, Dundrum-Sweetmount, Dundrum-Taney, Stillorgan-Deerpark, Stillorgan-Kilmacud, Stillorgan-Merville, Stillorgan-Mount Merrion, Tibradden;
and the electoral division of Glencullen except for that part that is in the constituency of Dún Laoghaire"
Dublin South-Central,Dublin,city,south,"['Carna', 'Chapelizod', 'Cherry-Orchard A', 'Cherry-Orchard C', 'Crumlin A', 'Crumlin B', 'Crumlin C', 'Crumlin D', 'Crumlin E', 'Crumlin F', 'Decies', 'Drumfinn', 'Inchicore A', 'Inchicore B', 'Kilmainham A', 'Kilmainham B', 'Kilmainham C', 'Kimmage A', 'Kimmage B', 'Kimmage D', 'Kimmage E', 'Kylemore', 'Merchants Quay A', 'Merchants Quay B', 'Merchants Quay C', 'Merchants Quay D', 'Merchants Quay E', 'Merchants Quay F', 'Ushers A', 'Ushers B', 'Ushers C', 'Ushers D', 'Ushers E', 'Ushers F', 'Walkinstown A', 'Walkinstown B', 'Walkinstown C']","{'': ['Carna', 'Chapelizod', 'Cherry-Orchard A', 'Cherry-Orchard C', 'Crumlin A', 'Crumlin B', 'Crumlin C', 'Crumlin D', 'Crumlin E', 'Crumlin F', 'Decies', 'Drumfinn', 'Inchicore A', 'Inchicore B', 'Kilmainham A', 'Kilmainham B', 'Kilmainham C', 'Kimmage A', 'Kimmage B', 'Kimmage D', 'Kimmage E', 'Kylemore', 'Merchants Quay A', 'Merchants Quay B', 'Merchants Quay C', 'Merchants Quay D', 'Merchants Quay E', 'Merchants Quay F', 'Ushers A', 'Ushers B', 'Ushers C', 'Ushers D', 'Ushers E', 'Ushers F', 'Walkinstown A', 'Walkinstown B', 'Walkinstown C']}",['Phoenix Park'],,"Chapelizod Road, Conyngham Road and Parkgate Street","the electoral divisions of:
Carna, Chapelizod, Cherry-Orchard A, Cherry-Orchard C, Crumlin A, Crumlin B, Crumlin C, Crumlin D, Crumlin E, Crumlin F, Decies, Drumfinn, Inchicore A, Inchicore B, Kilmainham A, Kilmainham B, Kilmainham C, Kimmage A, Kimmage B, Kimmage D, Kimmage E, Kylemore, Merchants Quay A, Merchants Quay B, Merchants Quay C, Merchants Quay D, Merchants Quay E, Merchants Quay F, Ushers A, Ushers B, Ushers C, Ushers D, Ushers E, Ushers F, Walkinstown A, Walkinstown B, Walkinstown C;
and that part of the electoral division of Phoenix Park situated south of a line drawn along Chapelizod Road, Conyngham Road and Parkgate Street"
Dublin South-Central,South Dublin,county,east,"['Templeogue-Kimmage Manor', 'Terenure-Cherryfield', 'Terenure-Greentrees']","{'': ['Templeogue-Kimmage Manor', 'Terenure-Cherryfield', 'Terenure-Greentrees']}","['Clondalkin-Ballymount', 'Clondalkin-Monastery', 'Tallaght-Kilnamanagh']",,the M50 Western Parkway,"the electoral divisions of:
Templeogue-Kimmage Manor, Terenure-Cherryfield, Terenure-Greentrees;
and those parts of the electoral divisions of Clondalkin- Ballymount, Clondalkin-Monastery and Tallaght- Kilnamanagh situated east of a line drawn along the M50 Western Parkway"
Dublin South-West,South Dublin,county,west,"['Ballinascorney', 'Ballyboden', 'Bohernabreena', 'Edmondstown', 'Firhouse-Ballycullen', 'Firhouse-Knocklyon', 'Firhouse Village', 'Rathfarnham-Ballyroan', 'Rathfarnham-Butterfield', 'Rathfarnham-Hermitage', 'Rathfarnham-St. Enda’s', 'Rathfarnham Village', 'Tallaght-Avonbeg', 'Tallaght-Belgard', 'Tallaght-Fettercairn', 'Tallaght-Glenview', 'Tallaght-Jobstown', 'Tallaght-Killinardan', 'Tallaght-Kiltipper', 'Tallaght-Kingswood', 'Tallaght-Millbrook', 'Tallaght-Oldbawn', 'Tallaght-Springfield', 'Tallaght-Tymon', 'Templeogue-Cypress', 'Templeogue-Limekiln', 'Templeogue-Orwell', 'Templeogue-Osprey', 'Templeogue Village', 'Terenure-St. James']","{'': ['Ballinascorney', 'Ballyboden', 'Bohernabreena', 'Edmondstown', 'Firhouse-Ballycullen', 'Firhouse-Knocklyon', 'Firhouse Village', 'Rathfarnham-Ballyroan', 'Rathfarnham-Butterfield', 'Rathfarnham-Hermitage', 'Rathfarnham-St. Enda’s', 'Rathfarnham Village', 'Tallaght-Avonbeg', 'Tallaght-Belgard', 'Tallaght-Fettercairn', 'Tallaght-Glenview', 'Tallaght-Jobstown', 'Tallaght-Killinardan', 'Tallaght-Kiltipper', 'Tallaght-Kingswood', 'Tallaght-Millbrook', 'Tallaght-Oldbawn', 'Tallaght-Springfield', 'Tallaght-Tymon', 'Templeogue-Cypress', 'Templeogue-Limekiln', 'Templeogue-Orwell', 'Templeogue-Osprey', 'Templeogue Village', 'Terenure-St. James']}","['Clondalkin-Ballymount', 'Tallaght-Kilnamanagh']",,the M50 Western Parkway,"the electoral divisions of:
Ballinascorney, Ballyboden, Bohernabreena, Edmondstown, Firhouse-Ballycullen, Firhouse-Knocklyon, Firhouse Village, Rathfarnham-Ballyroan, Rathfarnham-Butterfield, Rathfarnham-Hermitage, Rathfarnham-St. Enda’s, Rathfarnham Village, Tallaght-Avonbeg, Tallaght-Belgard, Tallaght-Fettercairn, Tallaght-Glenview, Tallaght-Jobstown, Tallaght-Killinardan, Tallaght-Kiltipper, Tallaght- Kingswood, Tallaght-Millbrook, Tallaght-Oldbawn, Tallaght- Springfield, Tallaght-Tymon, Templeogue-Cypress, Templeogue-Limekiln, Templeogue-Orwell, Templeogue- Osprey, Templeogue Village, Terenure-St. James;
and those parts of the electoral divisions of Clondalkin- Ballymount and Tallaght-Kilnamanagh situated west of a line drawn along the M50 Western Parkway"
Dublin West,Fingal,county,north,"['Blanchardstown-Blakestown', 'Blanchardstown-Coolmine', 'Blanchardstown-Corduff', 'Blanchardstown-Delwood', 'Blanchardstown-Mulhuddart', 'Blanchardstown-Roselawn', 'Blanchardstown-Tyrrelstown', 'Castleknock-Knockmaroon', 'Castleknock-Park', 'Lucan North']","{'': ['Blanchardstown-Blakestown', 'Blanchardstown-Coolmine', 'Blanchardstown-Corduff', 'Blanchardstown-Delwood', 'Blanchardstown-Mulhuddart', 'Blanchardstown-Roselawn', 'Blanchardstown-Tyrrelstown', 'Castleknock-Knockmaroon', 'Castleknock-Park', 'Lucan North']}","['Blanchardstown-Abbotstown', '', 'The Ward']",,the Northern Cross Route (M50),"the electoral divisions of:
Blanchardstown-Blakestown, Blanchardstown-Coolmine, Blanchardstown-Corduff, Blanchardstown-Delwood, Blanchardstown-Mulhuddart, Blanchardstown-Roselawn, Blanchardstown-Tyrrelstown, Castleknock-Knockmaroon, Castleknock-Park, Lucan North;
and those parts of the electoral divisions of Blanchardstown- Abbotstown, and The Ward situated north of a line drawn along the Northern Cross Route (M50)"
Dublin West,Dublin,city,north,"['Ashtown A', 'Ashtown B']","{'': ['Ashtown A', 'Ashtown B']}",['Phoenix Park'],,"Chapelizod Road, Conyngham Road and Parkgate Street","the electoral divisions of:
Ashtown A, Ashtown B;
and that part of the electoral division of Phoenix Park situated north of a line drawn along Chapelizod Road, Conyngham Road and Parkgate Street"
Dún Laoghaire,Dún Laoghaire-Rathdown,county,east,"['Ballybrack', 'Blackrock-Booterstown', 'Blackrock-Carysfort', 'Blackrock-Central', 'Blackrock-Glenomena', 'Blackrock-Monkstown', 'Blackrock-Newpark', 'Blackrock-Seapoint', 'Blackrock-Stradbrook', 'Blackrock-Templehill', 'Blackrock-Williamstown', 'Cabinteely-Granitefield', 'Cabinteely-Kilbogget', 'Cabinteely-Loughlinstown', 'Cabinteely-Pottery', 'Dalkey-Avondale', 'Dalkey-Bullock', 'Dalkey-Coliemore', 'Dalkey Hill', 'Dalkey Upper', 'Dún Laoghaire-East Central', 'Dún Laoghaire-Glasthule', 'Dún Laoghaire-Glenageary', 'Dún Laoghaire-Monkstown Farm', 'Dún Laoghaire-Mount Town', 'Dún Laoghaire-Sallynoggin East', 'Dún Laoghaire-Sallynoggin South', 'Dún Laoghaire-Sallynoggin West', 'Dún Laoghaire-Salthill', 'Dún Laoghaire-Sandycove', 'Dún Laoghaire-West Central', 'Foxrock-Beechpark', 'Foxrock-Carrickmines', 'Foxrock-Deansgrange', 'Foxrock-Torquay', 'Killiney North', 'Killiney South', 'Shankill-Rathmichael', 'Shankill-Rathsallagh', 'Shankill-Shanganagh', 'Stillorgan-Leopardstown', 'Stillorgan-Priory']","{'': ['Ballybrack', 'Blackrock-Booterstown', 'Blackrock-Carysfort', 'Blackrock-Central', 'Blackrock-Glenomena', 'Blackrock-Monkstown', 'Blackrock-Newpark', 'Blackrock-Seapoint', 'Blackrock-Stradbrook', 'Blackrock-Templehill', 'Blackrock-Williamstown', 'Cabinteely-Granitefield', 'Cabinteely-Kilbogget', 'Cabinteely-Loughlinstown', 'Cabinteely-Pottery', 'Dalkey-Avondale', 'Dalkey-Bullock', 'Dalkey-Coliemore', 'Dalkey Hill', 'Dalkey Upper', 'Dún Laoghaire-East Central', 'Dún Laoghaire-Glasthule', 'Dún Laoghaire-Glenageary', 'Dún Laoghaire-Monkstown Farm', 'Dún Laoghaire-Mount Town', 'Dún Laoghaire-Sallynoggin East', 'Dún Laoghaire-Sallynoggin South', 'Dún Laoghaire-Sallynoggin West', 'Dún Laoghaire-Salthill', 'Dún Laoghaire-Sandycove', 'Dún Laoghaire-West Central', 'Foxrock-Beechpark', 'Foxrock-Carrickmines', 'Foxrock-Deansgrange', 'Foxrock-Torquay', 'Killiney North', 'Killiney South', 'Shankill-Rathmichael', 'Shankill-Rathsallagh', 'Shankill-Shanganagh', 'Stillorgan-Leopardstown', 'Stillorgan-Priory']}",['Glencullen'],,the M50 Motorway and to the south of the N31 and the Leopardstown Road,"the electoral divisions of:
Ballybrack, Blackrock-Booterstown, Blackrock-Carysfort, Blackrock-Central, Blackrock-Glenomena, Blackrock- Monkstown, Blackrock-Newpark, Blackrock-Seapoint, Blackrock-Stradbrook, Blackrock-Templehill, Blackrock- Williamstown, Cabinteely-Granitefield, Cabinteely- Kilbogget, Cabinteely-Loughlinstown, Cabinteely-Pottery, Dalkey-Avondale, Dalkey-Bullock, Dalkey-Coliemore, Dalkey Hill, Dalkey Upper, Dún Laoghaire-East Central, Dún Laoghaire-Glasthule, Dún Laoghaire-Glenageary, Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Mount Town, Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Sallynoggin West, Dún Laoghaire- Salthill, Dún Laoghaire-Sandycove, Dún Laoghaire-West Central, Foxrock-Beechpark, Foxrock-Carrickmines, Foxrock-Deansgrange, Foxrock-Torquay, Killiney North, Killiney South, Shankill-Rathmichael, Shankill-Rathsallagh, Shankill-Shanganagh, Stillorgan-Leopardstown, Stillorgan- Priory;
and that part of the electoral division of Glencullen that lies to the east of the M50 Motorway and to the south of the N31 and the Leopardstown Road"
Galway East,Galway,county,,"['Abbeygormacan', 'Clonfert', 'Killoran', 'Kilmacshane', 'Kiltormer', 'Laurencetown', 'Aughrim', 'Belleville', 'Deerpark', 'Stradbally', 'Ardamullivan', 'Ardrahan', 'Ballycahalan', 'Beagh', 'Cahermore', 'Cappard', 'Castletaylor', 'Doorus', 'Drumacoo', 'Gort', 'Kilbeacanty', 'Killeely', 'Killeenavarra', 'Killinny', 'Kiltartan', 'Kilthomas', 'Kinvarra', 'Rahasane', 'Skehanagh', 'Aille', 'Athenry', 'Ballynagar', 'Bracklagh', 'Bullaun', 'Cappalusk', 'Castleboy', 'Cloonkeen', 'Colmanstown', 'Craughwell', 'Derrylaur', 'Drumkeary', 'Graigabbey', 'Grange', 'Greethill', 'Kilchreest', 'Kilconickny', 'Kilconierin', 'Killimor', 'Killogilleen', 'Kilmeen', 'Kilreekill', 'Kilteskill', 'Kiltullagh', 'Lackalea', 'Leitrim', 'Loughatorick', 'Loughrea Rural', 'Loughrea Urban', 'Marblehill', 'Mountain', 'Movode', 'Raford', 'Tiaquin', 'Woodford', 'Cooloo', 'Derryglassaun', 'Abbeyville', 'Ballyglass', 'Coos', 'Derrew', 'Drummin', 'Eyrecourt', 'Killimor', 'Kilmalinoge', 'Kilquain', 'Meelick', 'Moat', 'Pallas', 'Portumna', 'Tiranascragh', 'Tynagh', 'Abbey East', 'Abbey West', 'Annaghdown', 'Ballinderry', 'Ballinduff', 'Ballynapark', 'Beaghmore', 'Belclare', 'Carrowrevagh', 'Claretuam', 'Cummer', 'Donaghpatrick', 'Doonbally', 'Foxhall', 'Headford', 'Hillsbrook', 'Kilbennan', 'Kilcoona', 'Killeany', 'Killeen', 'Killererin', 'Killower', 'Killursa', 'Kilmoylan', 'Kilshanvy', 'Levally', 'Milltown', 'Monivea', 'Moyne', 'Ryehill', 'Tuam Rural', 'Tuam Urban']","{'': [], 'Rural District of Ballinasloe No. 1': ['Abbeygormacan', 'Clonfert', 'Killoran', 'Kilmacshane', 'Kiltormer', 'Laurencetown'], 'Rural District of Galway': ['Aughrim', 'Belleville', 'Deerpark', 'Stradbally'], 'Rural District of Gort': ['Ardamullivan', 'Ardrahan', 'Ballycahalan', 'Beagh', 'Cahermore', 'Cappard', 'Castletaylor', 'Doorus', 'Drumacoo', 'Gort', 'Kilbeacanty', 'Killeely', 'Killeenavarra', 'Killinny', 'Kiltartan', 'Kilthomas', 'Kinvarra', 'Rahasane', 'Skehanagh'], 'Rural District of Loughrea': ['Aille', 'Athenry', 'Ballynagar', 'Bracklagh', 'Bullaun', 'Cappalusk', 'Castleboy', 'Cloonkeen', 'Colmanstown', 'Craughwell', 'Derrylaur', 'Drumkeary', 'Graigabbey', 'Grange', 'Greethill', 'Kilchreest', 'Kilconickny', 'Kilconierin', 'Killimor', 'Killogilleen', 'Kilmeen', 'Kilreekill', 'Kilteskill', 'Kiltullagh', 'Lackalea', 'Leitrim', 'Loughatorick', 'Loughrea Rural', 'Loughrea Urban', 'Marblehill', 'Mountain', 'Movode', 'Raford', 'Tiaquin', 'Woodford'], 'Rural District of Mount Bellew': ['Cooloo', 'Derryglassaun'], 'Rural District of Portumna': ['Abbeyville', 'Ballyglass', 'Coos', 'Derrew', 'Drummin', 'Eyrecourt', 'Killimor', 'Kilmalinoge', 'Kilquain', 'Meelick', 'Moat', 'Pallas', 'Portumna', 'Tiranascragh', 'Tynagh'], 'Rural District of Tuam': ['Abbey East', 'Abbey West', 'Annaghdown', 'Ballinderry', 'Ballinduff', 'Ballynapark', 'Beaghmore', 'Belclare', 'Carrowrevagh', 'Claretuam', 'Cummer', 'Donaghpatrick', 'Doonbally', 'Foxhall', 'Headford', 'Hillsbrook', 'Kilbennan', 'Kilcoona', 'Killeany', 'Killeen', 'Killererin', 'Killower', 'Killursa', 'Kilmoylan', 'Kilshanvy', 'Levally', 'Milltown', 'Monivea', 'Moyne', 'Ryehill', 'Tuam Rural', 'Tuam Urban']}",,,,"the electoral divisions of:
Abbeygormacan, Clonfert, Killoran, Kilmacshane, Kiltormer, Laurencetown, in the former Rural District of Ballinasloe No. 1;
Aughrim, Belleville, Deerpark, Stradbally, in the former Rural District of Galway;
Ardamullivan, Ardrahan, Ballycahalan, Beagh, Cahermore, Cappard, Castletaylor, Doorus, Drumacoo, Gort, Kilbeacanty, Killeely, Killeenavarra, Killinny, Kiltartan, Kilthomas, Kinvarra, Rahasane, Skehanagh, in the former Rural District of Gort;
Aille, Athenry, Ballynagar, Bracklagh, Bullaun, Cappalusk, Castleboy, Cloonkeen, Colmanstown, Craughwell, Derrylaur, Drumkeary, Graigabbey, Grange, Greethill, Kilchreest, Kilconickny, Kilconierin, Killimor, Killogilleen, Kilmeen, Kilreekill, Kilteskill, Kiltullagh, Lackalea, Leitrim, Loughatorick, Loughrea Rural, Loughrea Urban, Marblehill, Mountain, Movode, Raford, Tiaquin, Woodford, in the former Rural District of Loughrea;
Cooloo, Derryglassaun, in the former Rural District of Mount Bellew;
Abbeyville, Ballyglass, Coos, Derrew, Drummin, Eyrecourt, Killimor, Kilmalinoge, Kilquain, Meelick, Moat, Pallas, Portumna, Tiranascragh, Tynagh, in the former Rural District of Portumna;
Abbey East, Abbey West, Annaghdown, Ballinderry, Ballinduff, Ballynapark, Beaghmore, Belclare, Carrowrevagh, Claretuam, Cummer, Donaghpatrick, Doonbally, Foxhall, Headford, Hillsbrook, Kilbennan, Kilcoona, Killeany, Killeen, Killererin, Killower, Killursa, Kilmoylan, Kilshanvy, Levally, Milltown, Monivea, Moyne, Ryehill, Tuam Rural, Tuam Urban, in the former Rural District of Tuam"
Galway West,Galway,city,,,,,,,
Galway West,Galway,county,,"['Abhainn Ghabhla', 'An Cnoc Buí', 'An Uillinn', 'Ballynakill', 'Binn an Choire', 'Bunowen', 'Cleggan', 'Clifden', 'Cloch na Rón', 'Cushkillary', 'Derrycunlagh', 'Derrylea', 'Doonloughan', 'Errislannan', 'Inishbofin', 'Maíros', 'Rinvyle', 'Scainimh', 'Sillerna', 'An Carn Mór', 'An Spidéal', 'Árainn', 'Baile Chláir', 'Baile an Teampaill', 'Ballynacourty', 'Bearna', 'Ceathrú an Bhrúnaigh', 'Cill Aithnín', 'Clarinbridge', 'Eanach Dhúin', 'Galway Rural (part)', 'Kilcummin', 'Leacach Beag', 'Liscananaun', 'Lisín an Bhealaigh', 'Maigh Cuilinn', 'Na Forbacha', 'Oranmore', 'Sailearna', 'Sliabh an Aonaigh', 'Tulaigh Mhic Aodháin', 'An Chorr', 'An Crompán', 'An Fhairche', 'An Ros', 'An Turlach', 'Camas', 'Cill Chuimín', 'Conga', 'Garmna', 'Leitir Breacáin', 'Leitir Móir', 'Letterfore', 'Oughterard', 'Wormhole']","{'': [], 'Rural District of Clifden': ['Abhainn Ghabhla', 'An Cnoc Buí', 'An Uillinn', 'Ballynakill', 'Binn an Choire', 'Bunowen', 'Cleggan', 'Clifden', 'Cloch na Rón', 'Cushkillary', 'Derrycunlagh', 'Derrylea', 'Doonloughan', 'Errislannan', 'Inishbofin', 'Maíros', 'Rinvyle', 'Scainimh', 'Sillerna'], 'Rural District of Galway': ['An Carn Mór', 'An Spidéal', 'Árainn', 'Baile Chláir', 'Baile an Teampaill', 'Ballynacourty', 'Bearna', 'Ceathrú an Bhrúnaigh', 'Cill Aithnín', 'Clarinbridge', 'Eanach Dhúin', 'Galway Rural (part)', 'Kilcummin', 'Leacach Beag', 'Liscananaun', 'Lisín an Bhealaigh', 'Maigh Cuilinn', 'Na Forbacha', 'Oranmore', 'Sailearna', 'Sliabh an Aonaigh', 'Tulaigh Mhic Aodháin'], 'Rural District of Oughterard': ['An Chorr', 'An Crompán', 'An Fhairche', 'An Ros', 'An Turlach', 'Camas', 'Cill Chuimín', 'Conga', 'Garmna', 'Leitir Breacáin', 'Leitir Móir', 'Letterfore', 'Oughterard', 'Wormhole']}",,,,"the electoral divisions of:
Abhainn Ghabhla, An Cnoc Buí, An Uillinn, Ballynakill, Binn an Choire, Bunowen, Cleggan, Clifden, Cloch na Rón, Cushkillary, Derrycunlagh, Derrylea, Doonloughan, Errislannan, Inishbofin, Maíros, Rinvyle, Scainimh, Sillerna, in the former Rural District of Clifden;
An Carn Mór, An Spidéal, Árainn, Baile Chláir, Baile an Teampaill, Ballynacourty, Bearna, Ceathrú an Bhrúnaigh, Cill Aithnín, Clarinbridge, Eanach Dhúin, Galway Rural (part), Kilcummin, Leacach Beag, Liscananaun, Lisín an Bhealaigh, Maigh Cuilinn, Na Forbacha, Oranmore, Sailearna, Sliabh an Aonaigh, Tulaigh Mhic Aodháin, in the former Rural District of Galway;
An Chorr, An Crompán, An Fhairche, An Ros, An Turlach, Camas, Cill Chuimín, Conga, Garmna, Leitir Breacáin, Leitir Móir, Letterfore, Oughterard, Wormhole, in the former Rural District of Oughterard"
Galway West,Mayo,county,,"['Cong', 'Dalgan', 'Houndswood', 'Kilmaine', 'Neale', 'Shrule']","{'': [], 'Rural District of Ballinrobe': ['Cong', 'Dalgan', 'Houndswood', 'Kilmaine', 'Neale', 'Shrule']}",,,,"the electoral divisions of:
Cong, Dalgan, Houndswood, Kilmaine, Neale, Shrule, in the former Rural District of Ballinrobe"
Kerry,Kerry,county,,,,,,,
Kildare North,Kildare,county,,"['Naas Urban', 'Balraheen', 'Celbridge', 'Cloncurry', 'Donadea', 'Donaghcumper', 'Kilcock', 'Leixlip', 'Maynooth', 'Straffan', 'Ballynadrumny', 'Cadamstown', 'Dunfierth', 'Bodenstown', 'Clane', 'Downings', 'Kill', 'Kilteel', 'Naas Rural', 'Newtown', 'Oughterard', 'Rathmore', 'Timahoe North']","{'': ['Naas Urban'], 'Rural District of Celbridge No. 1': ['Balraheen', 'Celbridge', 'Cloncurry', 'Donadea', 'Donaghcumper', 'Kilcock', 'Leixlip', 'Maynooth', 'Straffan'], 'Rural District of Edenderry No. 2': ['Ballynadrumny', 'Cadamstown', 'Dunfierth'], 'Rural District of Naas No. 1': ['Bodenstown', 'Clane', 'Downings', 'Kill', 'Kilteel', 'Naas Rural', 'Newtown', 'Oughterard', 'Rathmore', 'Timahoe North']}",,,,"the electoral divisions of:
Balraheen, Celbridge, Cloncurry, Donadea, Donaghcumper, Kilcock, Leixlip, Maynooth, Straffan, in the former Rural District of Celbridge No. 1;
Ballynadrumny, Cadamstown, Dunfierth, in the former Rural District of Edenderry No. 2;
Bodenstown, Clane, Downings, Kill, Kilteel, Naas Rural, Newtown, Oughterard, Rathmore, Timahoe North, in the former Rural District of Naas No. 1;
and Naas Urban"
Kildare South,Kildare,county,,,,,['Kildare North'],,except the part thereof which is comprised in the constituency of Kildare North
Kildare South,Laois,county,,"['Ballybrittas', 'Jamestown', 'Kilmullen', 'Portarlington South']","{'': [], 'Rural District of Mountmellick': ['Ballybrittas', 'Jamestown', 'Kilmullen', 'Portarlington South']}",,,,"the electoral divisions of:
Ballybrittas, Jamestown, Kilmullen, Portarlington South, in the former Rural District of Mountmellick"
Kildare South,Offaly,county,,['Portarlington North'],"{'': [], 'Rural District of Tullamore': ['Portarlington North']}",,,,"the electoral division of:
Portarlington North, in the former Rural District of Tullamore"
Laois-Offaly,Laois,county,,,,,['Kildare South'],,except those parts that are compromised within the constituency of Kildare South
Laois-Offaly,Offaly,county,,,,,['Kildare South'],,except those parts that are comprised within the constituency of Kildare South
Limerick City,Limerick,city and county,,"['Abbey A', 'Abbey B', 'Abbey C', 'Abbey D', 'Ballinacurra A', 'Ballinacurra B', 'Ballynanty', 'Castle A', 'Castle B', 'Castle C', 'Castle D', 'Coolraine', 'Custom House', 'Dock A', 'Dock B', 'Dock C', 'Dock D', 'Farranshone', 'Galvone A', 'Galvone B', 'Glentworth A', 'Glentworth B', 'Glentworth C', 'John’s A', 'John’s B', 'John’s C', 'Kilkeely A', 'Kilkeely B', 'Market', 'Prospect A', 'Prospect B', 'Rathbane', 'Shannon A', 'Shannon B', 'Singland A', 'Singland B', 'St. Laurence', 'Abington', 'Ballybricken', 'Ballycummin', 'Ballysimon', 'Ballyvarra', 'Caherconlish East', 'Caherconlish West', 'Castleconnell', 'Clonkeen', 'Glenstal', 'Limerick North Rural', 'Limerick South Rural', 'Roxborough']","{'': [], 'City of Limerick': ['Abbey A', 'Abbey B', 'Abbey C', 'Abbey D', 'Ballinacurra A', 'Ballinacurra B', 'Ballynanty', 'Castle A', 'Castle B', 'Castle C', 'Castle D', 'Coolraine', 'Custom House', 'Dock A', 'Dock B', 'Dock C', 'Dock D', 'Farranshone', 'Galvone A', 'Galvone B', 'Glentworth A', 'Glentworth B', 'Glentworth C', 'John’s A', 'John’s B', 'John’s C', 'Kilkeely A', 'Kilkeely B', 'Market', 'Prospect A', 'Prospect B', 'Rathbane', 'Shannon A', 'Shannon B', 'Singland A', 'Singland B', 'St. Laurence'], 'Rural District of Limerick No. 1': ['Abington', 'Ballybricken', 'Ballycummin', 'Ballysimon', 'Ballyvarra', 'Caherconlish East', 'Caherconlish West', 'Castleconnell', 'Clonkeen', 'Glenstal', 'Limerick North Rural', 'Limerick South Rural', 'Roxborough']}",,,,"the electoral divisions of:
Abbey A, Abbey B, Abbey C, Abbey D, Ballinacurra A, Ballinacurra B, Ballynanty, Castle A, Castle B, Castle C, Castle D, Coolraine, Custom House, Dock A, Dock B, Dock C, Dock D, Farranshone, Galvone A, Galvone B, Glentworth A, Glentworth B, Glentworth C, John’s A, John’s B, John’s C, Kilkeely A, Kilkeely B, Market, Prospect A, Prospect B, Rathbane, Shannon A, Shannon B, Singland A, Singland B, St. Laurence, in the former City of Limerick;
Abington, Ballybricken, Ballycummin, Ballysimon, Ballyvarra, Caherconlish East, Caherconlish West, Castleconnell, Clonkeen, Glenstal, Limerick North Rural, Limerick South Rural, Roxborough, in the former Rural District of Limerick No. 1"
Limerick City,Tipperary,county,,"['Birdhill', 'Kilcomenty', 'Newport']","{'': [], 'Rural District of Nenagh': ['Birdhill', 'Kilcomenty', 'Newport']}",,,,"the electoral divisions of:
Birdhill, Kilcomenty, Newport in the former Rural District of Nenagh"
LimerickCounty,Limerick,city and county,,,,,['Limerick City'],,except the parts thereof which are comprised in the constituency of Limerick City
Longford-Westmeath,Longford,county,,,,,,,
